DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2022-06-01,"07","004",1937
2022-06-01,"08","004",592
2022-06-01,"09","004",268
2022-06-01,"11","004",288
2022-06-01,"12","004",1956
2022-06-01,"13","004",1565
2022-06-01,"14","004",2553
2022-06-01,"15","004",3913
2022-06-01,"16","004",7833
2022-06-01,"17","004",1107
2022-07-01,"01","004",509
2022-07-01,"02","004",851
2022-07-01,"03","004",2270
2022-07-01,"04","004",733
2022-07-01,"05","004",988
2022-07-01,"06","004",3953
2022-07-01,"07","004",1695
2022-07-01,"08","004",495
2022-07-01,"09","004",196
2022-07-01,"11","004",235
2022-07-01,"12","004",1298
2022-07-01,"13","004",1101
2022-07-01,"14","004",1887
2022-07-01,"15","004",2823
2022-07-01,"16","004",5362
2022-07-01,"17","004",723
2022-08-01,"01","004",372
2022-08-01,"02","004",742
2022-08-01,"03","004",1627
2022-08-01,"04","004",723
2022-08-01,"05","004",864
2022-08-01,"06","004",3194
2022-08-01,"07","004",1547
2022-08-01,"08","004",417
2022-08-01,"09","004",182
2022-08-01,"11","004",172
2022-08-01,"12","004",905
2022-08-01,"13","004",922
2022-08-01,"14","004",1498
2022-08-01,"15","004",2454
2022-08-01,"16","004",4336
2022-08-01,"17","004",596
2022-09-01,"01","004",416
2022-09-01,"02","004",767
2022-09-01,"03","004",1646
2022-09-01,"04","004",642
2022-09-01,"05","004",843
2022-09-01,"06","004",2768
2022-09-01,"07","004",1237
2022-09-01,"08","004",347
2022-09-01,"09","004",183
2022-09-01,"11","004",227
2022-09-01,"12","004",995
2022-09-01,"13","004",820
2022-09-01,"14","004",1467
2022-09-01,"15","004",2390
2022-09-01,"16","004",4037
2022-09-01,"17","004",560
2022-10-01,"01","004",365
2022-10-01,"02","004",624
2022-10-01,"03","004",1487
2022-10-01,"04","004",669
2022-10-01,"05","004",758
2022-10-01,"06","004",2572
2022-10-01,"07","004",1154
2022-10-01,"08","004",277
2022-10-01,"09","004",154
2022-10-01,"11","004",174
2022-10-01,"12","004",912
2022-10-01,"13","004",701
2022-10-01,"14","004",1478
2022-10-01,"15","004",2025
2022-10-01,"16","004",3571
2022-10-01,"17","004",501
2022-11-01,"01","004",403
2022-11-01,"02","004",661
2022-11-01,"03","004",1590
2022-11-01,"04","004",669
2022-11-01,"05","004",769
2022-11-01,"06","004",2848
2022-11-01,"07","004",1125
2022-11-01,"08","004",324
2022-11-01,"09","004",199
2022-11-01,"11","004",183
2022-11-01,"12","004",916
2022-11-01,"13","004",881
2022-11-01,"14","004",1441
2022-11-01,"15","004",2148
2022-11-01,"16","004",3776
2022-11-01,"17","004",564
2022-12-01,"01","004",347
2022-12-01,"02","004",545
2022-12-01,"03","004",1328
2022-12-01,"04","004",531
2022-12-01,"05","004",655
2022-12-01,"06","004",2560
2022-12-01,"07","004",923
2022-12-01,"08","004",229
2022-12-01,"09","004",145
2022-12-01,"11","004",153
2022-12-01,"12","004",838
2022-12-01,"13","004",693
2022-12-01,"14","004",1246
2022-12-01,"15","004",1767
2022-12-01,"16","004",3210
2022-12-01,"17","004",450
2023-01-01,"01","004",221
2023-01-01,"02","004",388
2023-01-01,"03","004",998
2023-01-01,"04","004",406
2023-01-01,"05","004",475
2023-01-01,"06","004",1954
2023-01-01,"07","004",769
2023-01-01,"08","004",209
2023-01-01,"09","004",89
2023-01-01,"11","004",100
2023-01-01,"12","004",545
2023-01-01,"13","004",547
2023-01-01,"14","004",884
2023-01-01,"15","004",1301
2023-01-01,"16","004",2388
2023-01-01,"17","004",350
2023-02-01,"01","004",220
2023-02-01,"02","004",421
2023-02-01,"03","004",954
2023-02-01,"04","004",428
2023-02-01,"05","004",514
2023-02-01,"06","004",2088
2023-02-01,"07","004",762
2023-02-01,"08","004",185
2023-02-01,"09","004",96
2023-02-01,"11","004",106
2023-02-01,"12","004",564
2023-02-01,"13","004",515
2023-02-01,"14","004",926
2023-02-01,"15","004",1253
2023-02-01,"16","004",2402
2023-02-01,"17","004",375
2023-03-01,"01","004",294
2023-03-01,"02","004",543
2023-03-01,"03","004",1305
2023-03-01,"04","004",526
2023-03-01,"05","004",614
2023-03-01,"06","004",2489
2023-03-01,"07","004",884
2023-03-01,"08","004",233
2023-03-01,"09","004",122
2023-03-01,"11","004",130
2023-03-01,"12","004",744
2023-03-01,"13","004",713
2023-03-01,"14","004",1182
2023-03-01,"15","004",1806
2023-03-01,"16","004",3245
2023-03-01,"17","004",472
2023-04-01,"01","004",310
2023-04-01,"02","004",554
2023-04-01,"03","004",1407
2023-04-01,"04","004",528
2023-04-01,"05","004",627
2023-04-01,"06","004",2483
2023-04-01,"07","004",862
2023-04-01,"08","004",273
2023-04-01,"09","004",145
2023-04-01,"11","004",137
2023-04-01,"12","004",818
2023-04-01,"13","004",729
2023-04-01,"14","004",1181
2023-04-01,"15","004",1684
2023-04-01,"16","004",3154
2023-04-01,"17","004",443
2023-05-01,"01","004",477
2023-05-01,"02","004",852
2023-05-01,"03","004",2283
2023-05-01,"04","004",733
2023-05-01,"05","004",960
2023-05-01,"06","004",3584
2023-05-01,"07","004",1210
2023-05-01,"08","004",389
